BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
T,127,9,N,,,DeKalb Av,L,,83,PS257,
T,131,10,N,,,Bushwick - Aberdeen,L,,83,PS257,
K,8,5,N,,,,,,90,PS257,
K,20,5,N,,,,,,90,PS257,
K,48,5,N,,,,,,90,PS257,
K,86,6,Y,,,,,,90,PS257,
K,113,6,Y,,,,,,90,PS257,
K,117,7,Y,,,,,,90,PS257,
K,118,7,Y,,,,,,90,PS257,
K,124,7,Y,,,,,,90,PS257,
K,157,8,N,,,,,,90,PS257,
T,99,6,N,,,Lorimer St,J-M,,90,PS257,
T,101,5,N,,,Marcy Av,J-M-Z,,90,PS257,
T,285,6,N,,,Metropolitan Av,G,,90,PS257,
T,287,7,N,,,Flushing Av,G,,90,PS257,
K,30,3,N,,,,,,94,PS257,
K,34,3,N,,,,,,94,PS257,
K,53,2,N,,,,,,94,PS257,
K,57,1,N,,,,,,94,PS257,
K,59,1,N,,,,,,94,PS257,
K,61,1,N,,,,,,94,PS257,
K,67,2,N,,,,,,94,PS257,
K,68,2,N,,,,,,94,PS257,
K,85,3,N,,,,,,94,PS257,
K,90,4,N,,,,,,94,PS257,
K,91,4,N,,,,,,94,PS257,
K,93,4,N,,,,,,94,PS257,
K,99,4,Y,,,,,,94,PS257,
T,284,2,N,,,Nassau Av,G,,94,PS257,
K,334,15,NO,,,,,,76,PS261,
K,336,15,NO,,,,,,76,PS261,
K,510,15,NO,,,,,,76,PS261,
K,548,15,NO,,,,,,76,PS261,
K,555,14,NO,,,,,,76,PS261,
K,573,14,NO,,,,,,76,PS261,
K,578,14,NO,,,,,,76,PS261,
K,347,6,NO,,,,,,78,PS261,
K,350,13,NO,,,,,,78,PS261,
K,352,13,NO,,,,,,78,PS261,
K,397,13,NO,,,,,,78,PS261,
K,525,12,NO,,,,,,78,PS261,
K,531,12,NO,,,,,,78,PS261,
K,1706,11,NO,,1,,,,78,PS261,
K,1718,11,NO,,1,,,,78,PS261,
K,1720,11,NO,,1,,,,78,PS261,
T,28,12,NO,,,Union St,R,,78,PS261,
T,41,13,NO,,,7 Av,B-Q,,78,PS261,
